"female" "mathkind" "mathgain" "ses" "mathprep" "classid" "schoolid" "childid"
1 448 32 0.46000000834465 2 160 1 1
0 460 109 -0.270000010728836 2 160 1 2
1 511 56 -0.0299999993294477 2 160 1 3
0 449 83 -0.379999995231628 3.25 217 1 4
0 425 53 -0.0299999993294477 3.25 217 1 5
1 450 65 0.759999990463257 3.25 217 1 6
0 452 51 -0.0299999993294477 3.25 217 1 7
0 443 66 0.200000002980232 3.25 217 1 8
1 422 88 0.639999985694885 3.25 217 1 9
0 480 -7 0.129999995231628 3.25 217 1 10
0 502 60 0.829999983310699 3.25 217 1 11
1 502 -2 0.0599999986588955 2.5 197 2 12
0 430 101 0.300000011920929 2.5 197 2 13
0 526 30 -0.270000010728836 2.32999992370605 211 2 14
0 504 65 0.740000009536743 2.32999992370605 211 2 15
1 527 29 0.310000002384186 2.32999992370605 211 2 16
1 462 152 1.10000002384186 2.32999992370605 211 2 17
0 483 50 0.519999980926514 2.29999995231628 307 2 18
1 516 60 -1.14999997615814 2.29999995231628 307 2 19
0 476 74 0 2.29999995231628 307 2 20
0 453 91 0.389999985694885 2.29999995231628 307 2 21
0 494 68 -0.0599999986588955 3.82999992370605 11 3 22
0 416 94 -0.259999990463257 3.82999992370605 11 3 23
0 456 120 0.639999985694885 3.82999992370605 11 3 24
1 445 58 -0.370000004768372 3.82999992370605 11 3 25
0 446 123 0.540000021457672 2.25 137 3 26
1 479 88 2.21000003814697 2.25 137 3 27
0 474 60 -0.430000007152557 3 145 3 28
0 453 152 0.409999996423721 3 145 3 29
0 494 96 0.0599999986588955 3 145 3 30
1 529 57 -0.0900000035762787 3 145 3 31
0 461 115 1.58000004291534 3 145 3 32
0 482 58 0.119999997317791 2.17000007629395 228 3 33
0 475 51 -0.349999994039536 2.17000007629395 228 3 34
0 464 104 0.899999976158142 2.17000007629395 228 3 35
1 496 65 -1.02999997138977 2 48 4 36
1 443 64 -0.800000011920929 2 48 4 37
0 455 59 1.03999996185303 2 48 4 38
0 447 70 -0.300000011920929 2 48 4 39
1 501 63 0.899999976158142 2 179 4 40
0 434 -110 -0.370000004768372 2 179 4 41
1 462 73 -0.0299999993294477 3.75 299 5 42
0 444 100 -0.0299999993294477 3.75 299 5 43
1 472 -9 -1.38999998569489 3.75 299 5 44
1 450 67 -1.25 3.75 299 5 45
0 463 58 -0.280000001192093 3.75 299 5 46
1 381 72 0.409999996423721 3.75 299 5 47
1 447 88 0.00999999977648258 1.75 254 6 48
0 504 115 -0.310000002384186 1.75 254 6 49
0 483 62 -1.42999994754791 4 286 6 50
1 459 42 -0.730000019073486 4 286 6 51
0 472 88 1.30999994277954 4 286 6 52
1 475 71 0.0900000035762787 4 286 6 53
0 468 74 0.349999994039536 4 286 6 54
0 467 67 -0.0199999995529652 4 286 6 55
1 418 74 0.790000021457672 2.5 291 6 56
1 415 87 -0.689999997615814 2.5 291 6 57
0 444 83 -0.439999997615814 2.5 291 6 58
0 433 93 0.28999999165535 2.5 291 6 59
0 427 56 -1.29999995231628 2.32999992370605 89 7 60
1 428 40 -0.319999992847443 2.32999992370605 89 7 61
1 429 69 0.569999992847443 2.32999992370605 89 7 62
1 497 75 -0.0299999993294477 2.5 107 7 63
