"Reference.Code"	"year"	"time.pulled"	"Type"	"Journal"	"authors"	"article"	"original.sample.size"	"mention.outliers"	"final.sample.size"	"number.outliers"	"Basics"	"ANOVA"	"Regression"	"ChiSquare"	"Nonparametric"	"Modeling"	"BayesOther"
"@Anderson2012"	"2012"	"2012"	"Clinical"	"Journal of Clinical Psychology"	"Anderson, Crowley, Patterson, Heckman"	"The Influence of Supervision on Manual Adherence and Therapeutic Processes"	"100"	"No"	"100"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"
"@Britton2012"	"2012"	"2012"	"Clinical"	"Journal of Clinical Psychology"	"Britton, Conner, Maisto"	"An Open Trial of Motivational Interviewing to Address Suicidal Ideation With Hospitalized Veterans"	"13"	"No"	"13"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"
"@Brown2012a"	"2012"	"2012"	"Clinical"	"Journal of Clinical Psychology"	"Brown, Bell, Jason, Christos, Bell"	"Understanding Long-Term Outcomes of Chronic Fatigue Syndrome"	"35"	"No"	"35"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"
"@Dempsey2012"	"2012"	"2012"	"Clinical"	"Journal of Clinical Psychology"	"Dempsey, Karver, Labouliere, Zesiewicz, Nadai"	"Self-Perceived Burden as a Mediator of Depression Symptoms Amongst Individuals Living With a Movement Disorder"	"114"	"No"	"114"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"
"@Giromini2012"	"2012"	"2012"	"Clinical"	"Journal of Clinical Psychology"	"Giromini, Velotti, Campora, Bonalume, Zavattini"	"Cultural Adaptation of the Difficulties in Emotion Regulation Scale: Reliability and Validity of an Italian Version"	"351"	"No"	"351"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"
"@Giromini2012"	"2012"	"2012"	"Clinical"	"Journal of Clinical Psychology"	"Giromini, Velotti, Campora, Bonalume, Zavattini"	"Cultural Adaptation of the Difficulties in Emotion Regulation Scale: Reliability and Validity of an Italian Version"	"61"	"No"	"61"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"
"@Giromini2012"	"2012"	"2012"	"Clinical"	"Journal of Clinical Psychology"	"Giromini, Velotti, Campora, Bonalume, Zavattini"	"Cultural Adaptation of the Difficulties in Emotion Regulation Scale: Reliability and Validity of an Italian Version"	"38"	"No"	"38"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"
"@Hamm2012"	"2012"	"2012"	"Clinical"	"Journal of Clinical Psychology"	"Hamm, Renard, Fogley, Leonhardt, Dimaggio, Buck, Lysaker"	"Metacognition and Social Cognition in Schizophrenia: Stability and Relationship to Concurrent and Prospective Symptom Assessments"	"49"	"No"	"49"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"
"@Harris2012"	"2012"	"2012"	"Clinical"	"Journal of Clinical Psychology"	"Harris, Erbes, Engdahl, Ogden, Olsen, Winsowski, Campion, Mataas"	"Religious Distress and Coping With Stressful Life Events: A Longitudinal Study"	"79"	"No"	"79"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"
"@Jazaieri2012"	"2012"	"2012"	"Clinical"	"Journal of Clinical Psychology"	"Jazaieri, Goldin, Werner, Ziv, Gross"	"A Randomized Trial of MBSR Versus Aerobic Exercise for Social Anxiety Disorder"	"77"	"No"	"77"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"
